id_entite,nom_canonique,type_organisation,pays,region_france,site_web,alias_identifiants,id_source_exacte,reference_exacte,date_information,organisation_concernee,passage_justificatif,nature_information,niveau_confiance,niveau_confidentialite,droits_reutilisation,statut_validation,doublon_contradiction,notes,perspective_corpus,role_chaine_valeur,categorie_msp_mssp_principale,categories_secondaires,statut_qualification_msp,preuve_statut,couverture_geographique,segments_cibles,secteurs_cibles,modele_livraison,soc_en_propre_declare
ENT-PUB-CHECKPOINT-004,Amazon Web Services,Autre — à préciser,États-Unis,,https://aws.amazon.com,AWS,SRC-PUB-CHECKPOINT-003,https://www.checkpoint.com/press-releases/check-point-softwares-cloud-firewall-offering-now-available-on-aws-european-sovereign-cloud/ | Archive 2026-07-01_CheckPoint_aws-sovereign-cloud.html,46218.416666666664,Amazon Web Services,"Check Point Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader in cyber security solutions, today announced it is a partner for the AWS European Sovereign Cloud, a new independent cloud for Europe. Check Point’s Cloud Firewall offering is now available on the AWS European Sovereign Cloud, further supporting customers in Europe.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Fournisseur cloud explicitement nommé.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-005,Lakera,Éditeur cybersécurité,Suisse / États-Unis,,https://www.lakera.ai,,SRC-PUB-CHECKPOINT-006,https://www.checkpoint.com/press-releases/check-point-acquires-lakera-to-deliver-end-to-end-ai-security-for-enterprises/ | Archive 2025-09-16_CheckPoint_lakera-acquisition.html,46218.416666666664,Lakera,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced it has entered into an agreement to acquire Lakera, one of the world’s leading AI-native security platforms for Agentic AI applications. With this acquisition, Check Point sets a new standard in cyber security, becoming able to deliver a full end-to-end AI security stack designed to protect enterprises as they accelerate their AI journey.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Cible d’acquisition annoncée.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-006,Wiz,Éditeur cybersécurité,États-Unis,,https://www.wiz.io,,SRC-PUB-CHECKPOINT-007,https://www.checkpoint.com/press-releases/check-point-enters-next-level-of-strategic-partnership-with-wiz-to-deliver-integrated-cnapp-and-cloud-network-security-solution/ | Archive 2025-09-29_CheckPoint_wiz-integration.html,46218.416666666664,Wiz,"Check Point Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced the next milestone in its strategic partnership with Wiz: the global rollout of a fully integrated solution uniting Check Point’s prevention-first cloud network security with Wiz’s Cloud-Native Application Protection Platform (CNAPP). Building on the partnership first announced in February 2025, this phase brings the integration to general availability, helping enterprises confront modern cloud security challenges with visibility, precision, and AI-powered prevention.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire technologique explicitement nommé.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-007,Microsoft,Autre — à préciser,États-Unis,,https://www.microsoft.com,,SRC-PUB-CHECKPOINT-008,https://www.checkpoint.com/press-releases/check-point-software-collaborates-with-microsoft-to-deliver-enterprise-grade-ai-security-for-microsoft-copilot-studio/ | Archive 2025-11-18_CheckPoint_microsoft-copilot.html,46218.416666666664,Microsoft,"Check Point® Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader of cyber security solutions, today announced it is collaborating with Microsoft to deliver enterprise-grade AI security for Microsoft Copilot Studio. The collaboration enables enterprises to safely build and deploy generative-AI agents with continuous protection, compliance, and governance integrated directly into their development workflows. The integration with Copilot Studio brings together Check Point’s AI Guardrails, Data Loss Prevention (DLP), and Threat Prevention technologies, extending its end-to-end AI security stack to safeguard Copilot Studio during agent runtime.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire technologique explicitement nommé.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-008,Cyberint,Éditeur cybersécurité,Israël,,https://cyberint.com,,SRC-PUB-CHECKPOINT-005,https://www.checkpoint.com/press-releases/check-point-introduces-ai-driven-exposure-management-to-close-the-cyber-security-remediation-gap/ | Archive 2026-01-21_CheckPoint_exposure-management.html,46218.416666666664,Cyberint,"Check Point Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader in cyber security solutions, today announced Check Point Exposure Management, a new approach designed to help organizations defend against AI-era attacks by turning fragmented exposure data into prioritized, actionable, and safe remediation. Powered by Cyberint, Veriti, and Check Point’s global threat visibility, Exposure Management delivers real-time situational awareness by unifying threat intelligence, dark-web insights, attack surface visibility, exploitability context, and automated remediation, at a time when attackers increasingly use automation and AI to move faster than traditional security operations can respond.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Technologie explicitement citée dans Exposure Management.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-009,Veriti,Éditeur cybersécurité,Israël,,https://veriti.ai,,SRC-PUB-CHECKPOINT-005,https://www.checkpoint.com/press-releases/check-point-introduces-ai-driven-exposure-management-to-close-the-cyber-security-remediation-gap/ | Archive 2026-01-21_CheckPoint_exposure-management.html,46218.416666666664,Veriti,"Check Point Software Technologies Ltd. (NASDAQ: CHKP), a pioneer and global leader in cyber security solutions, today announced Check Point Exposure Management, a new approach designed to help organizations defend against AI-era attacks by turning fragmented exposure data into prioritized, actionable, and safe remediation. Powered by Cyberint, Veriti, and Check Point’s global threat visibility, Exposure Management delivers real-time situational awareness by unifying threat intelligence, dark-web insights, attack surface visibility, exploitability context, and automated remediation, at a time when attackers increasingly use automation and AI to move faster than traditional security operations can respond.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Technologie explicitement citée dans Exposure Management.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-010,Pax8,Distributeur / revendeur,États-Unis,,https://www.pax8.com,,SRC-PUB-CHECKPOINT-001,https://www.checkpoint.com/press-releases/check-point-advances-secure-ai-transformation-for-msps-with-new-platform-ai-security-capabilities-and-unified-security-bundles/ | Archive 2026-06-10_CheckPoint_msp-platform.html,46218.416666666664,Pax8,"“As MSPs help customers navigate rapid AI adoption, there is growing demand for solutions that are easier to manage, consolidate fragmented tools, and support evolving security requirements,” said Oguo Atuanya, Corporate Vice President of Vendor Experience at Pax8. “Check Point’s approach brings together AI security, centralized management, and simplified service delivery in a way that aligns with how partners want to scale and support their customers in the era of AI transformation.”",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Acteur MSP cité dans le communiqué.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-011,Arrow,Distributeur / revendeur,États-Unis,,https://www.arrow.com,,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,46218.416666666664,Arrow,"L’équipe channel s’appuie par ailleurs sur 5 commerciaux dédiés ( 4 gestionnaires de partenaires et 1 responsable distribution ) et sur trois distributeurs officiels : Arrow, Infinigate et Westcon.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Distributeur officiel France selon source secondaire.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-012,Infinigate,Distributeur / revendeur,Suisse,,https://www.infinigate.com,,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,46218.416666666664,Infinigate,"L’équipe channel s’appuie par ailleurs sur 5 commerciaux dédiés ( 4 gestionnaires de partenaires et 1 responsable distribution ) et sur trois distributeurs officiels : Arrow, Infinigate et Westcon.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Distributeur officiel France selon source secondaire.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-013,Westcon,Distributeur / revendeur,États-Unis,,https://www.westconcomstor.com,Westcon-Comstor,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,46218.416666666664,Westcon,"L’équipe channel s’appuie par ailleurs sur 5 commerciaux dédiés ( 4 gestionnaires de partenaires et 1 responsable distribution ) et sur trois distributeurs officiels : Arrow, Infinigate et Westcon.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Distributeur officiel France selon source secondaire.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-014,Jérôme Bouvet,Autre — à préciser,France,,,Country Manager France,SRC-PUB-CHECKPOINT-010,https://www.channelbiz.fr/2025/04/22/cyber-jerome-bouvet-rejoint-check-point-france-comme-country-manager/ | Archive 2025-04-22_ChannelBiz_checkpoint-country-manager.html,46218.416666666664,Jérôme Bouvet,"Jérôme Bouvet rejoint Check Point avec une expérience de plus de 20 ans dans la gestion d’équipes commerciales et la conduite de stratégies de croissance dans le secteur technologique. Il a exercé des responsabilités de direction au sein de plusieurs grandes entreprises IT. Dans ses nouvelles fonctions, il aura pour mission d’accélérer le développement de Check Point en France, en renforçant les relations avec les partenaires de distribution – revendeurs, intégrateurs et MSP – et en accompagnant les clients dans leurs projets de transformation numérique sécurisée.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Personne; attribution issue d’une source secondaire.,,,,,,,,,,,
ENT-PUB-CHECKPOINT-015,Jérôme Lorber,Autre — à préciser,France,,,Directeur Channel France,SRC-PUB-CHECKPOINT-009,https://www.channelbiz.fr/2026/04/20/check-point-france-recentre-sa-strategie-channel/ | Archive 2026-04-20_ChannelBiz_checkpoint-channel-france.html,46218.416666666664,Jérôme Lorber,"Pour 2026, Check Point France opère un virage assumé : moins de partenaires, mais des relations plus profondes, une rémunération du new business inédite et une offensive marquée sur le marché des MSP. Check Point Software Technologies confirme son engagement auprès de l’écosystème partenaires en France avec une stratégie channel profondément remaniée pour 2026. Aux commandes, Jérôme Lorber, Directeur Channel France, fort de 25 ans d’expérience dans la cybersécurité et de plus de 4 ans chez l’éditeur, détaille une approche de rupture fondée sur la sélectivité, la croissance partagée et l’intégration dans les offres de services managés.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Personne; attribution issue d’une source secondaire.,,,,,,,,,,,
ENT-PUB-LEVIIA-001,Leviia SAS,Éditeur cybersécurité,France,Île-de-France,https://www.leviia.com,Leviia,SRC-PUB-LEVIIA-010,https://www.francenum.gouv.fr/activateurs/leviia | Archive 2026-07-09_FranceNum_leviia.html,46219.416666666664,Leviia SAS,"Leviia est un fournisseur français de stockage certifié ISO27001 HDS proposant deux solutions souveraine : Leviia Next, une suite collaborative souveraine pour le travail en équipe et Leviia Storag3, une solution de stockage objet compatible S3 pour l’archivage et la sauvegarde de données.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Fournisseur français de stockage et collaboration souverains.,,,,,,,,,,,
ENT-PUB-LEVIIA-002,Arnaud Méauzoone,Autre — à préciser,France,Île-de-France,,Cofondateur; président,SRC-PUB-LEVIIA-011,https://www.numerama.com/tech/2264435-au-debut-on-nous-prenait-pour-des-fous-entretien-avec-william-co-fondateur-du-cloud-francais-leviia.html | Archive 2026-06-07_Numerama_interview-leviia.html,46219.416666666664,Arnaud Méauzoone,"Très vite, la demande se diversifie et des dirigeants de PME toquent à la porte des deux frères, à la recherche de solutions pour leurs entreprises. Après un an et demi de R&D, l’offre Pro (B2B) est prête à être industrialisée début 2022 et devient rapidement le fer de lance de l’entreprise : « Aujourd’hui, notre offre B2C reste un produit de stockage monoclient (pour sauvegarder des photos, un téléphone, des documents), tandis que l’offre B2B est devenue notre axe de développement majeur : c’est une suite collaborative complète avec chat, visio, agenda, lecteur mail, kanban et tableau blanc. Nos données sont réparties dans trois datacenters en France avec des sauvegardes quotidiennes (conservées 180 jours pour les pros). »",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Cofondateur cité dans l’entretien.,,,,,,,,,,,
ENT-PUB-LEVIIA-003,William Méauzoone,Autre — à préciser,France,Île-de-France,,Cofondateur; directeur général,SRC-PUB-LEVIIA-011,https://www.numerama.com/tech/2264435-au-debut-on-nous-prenait-pour-des-fous-entretien-avec-william-co-fondateur-du-cloud-francais-leviia.html | Archive 2026-06-07_Numerama_interview-leviia.html,46219.416666666664,William Méauzoone,"Très vite, la demande se diversifie et des dirigeants de PME toquent à la porte des deux frères, à la recherche de solutions pour leurs entreprises. Après un an et demi de R&D, l’offre Pro (B2B) est prête à être industrialisée début 2022 et devient rapidement le fer de lance de l’entreprise : « Aujourd’hui, notre offre B2C reste un produit de stockage monoclient (pour sauvegarder des photos, un téléphone, des documents), tandis que l’offre B2B est devenue notre axe de développement majeur : c’est une suite collaborative complète avec chat, visio, agenda, lecteur mail, kanban et tableau blanc. Nos données sont réparties dans trois datacenters en France avec des sauvegardes quotidiennes (conservées 180 jours pour les pros). »",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Dirigeant interviewé.,,,,,,,,,,,
ENT-PUB-LEVIIA-004,Richard Czech,Autre — à préciser,France / Europe,,,Chief Business Development Officer,SRC-PUB-LEVIIA-006,https://via.tt.se/pressmeddelande/4057851/former-wasabi-emea-vp-richard-czech-joins-leviia-to-lead-european-channel-expansion?lang=en&publisherId=259167 | Archive 2025-09-18_BusinessWire_leviia-expansion-europe.html,46219.416666666664,Richard Czech,"Leviia, the French cloud storage provider with more than one million users and 1,000 enterprise customers, today announces a major step in its growth strategy: the expansion of its S3 storage operations across Europe. To lead this initiative, Leviia has appointed Richard Czech, former Vice President EMEA at Wasabi, as Chief Business Development Officer. Czech will drive market development and scale Leviia’s partner ecosystem across Europe, building on the company’s successful go-to-market model in France.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Dirigeant nommé pour l’expansion européenne.,,,,,,,,,,,
ENT-PUB-LEVIIA-005,Région Île-de-France,Gouvernance / institutionnel,France,Île-de-France,https://www.iledefrance.fr,Région IDF,SRC-PUB-LEVIIA-008,https://nextcloud.com/blog/ile-de-france-sovereign-cloud-collaboration-platform/ | Archive 2025-12-08_Nextcloud_leviia-region-idf.html,46219.416666666664,Région Île-de-France,"In an ambitious digital transformation project, Île-de-France, the region around Paris, chose Nextcloud partner Leviia to implement Nextcloud as sovereign collaborative suite within the regional platform monlycée.net. The sovereign collaboration platform was designed to replace solutions from Microsoft. This initiative connects over 550,000 students, teachers, and administrative staff across hundreds of high schools. In essence, they benefit from a secure, privacy-respecting environment for learning, collaboration and file exchange. The project also puts into the spotlight the region’s commitment to digital sovereignty, GDPR compliance, and independence from non-European cloud providers.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Client public explicitement confirmé.,,,,,,,,,,,
ENT-PUB-LEVIIA-006,Nextcloud GmbH,Éditeur cybersécurité,Allemagne,,https://nextcloud.com,Nextcloud,SRC-PUB-LEVIIA-008,https://nextcloud.com/blog/ile-de-france-sovereign-cloud-collaboration-platform/ | Archive 2025-12-08_Nextcloud_leviia-region-idf.html,46219.416666666664,Nextcloud GmbH,"In an ambitious digital transformation project, Île-de-France, the region around Paris, chose Nextcloud partner Leviia to implement Nextcloud as sovereign collaborative suite within the regional platform monlycée.net. The sovereign collaboration platform was designed to replace solutions from Microsoft. This initiative connects over 550,000 students, teachers, and administrative staff across hundreds of high schools. In essence, they benefit from a secure, privacy-respecting environment for learning, collaboration and file exchange. The project also puts into the spotlight the region’s commitment to digital sovereignty, GDPR compliance, and independence from non-European cloud providers.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire technologique explicitement nommé.,,,,,,,,,,,
ENT-PUB-LEVIIA-007,Worldline PSN,ESN / intégrateur,France,Île-de-France,https://worldline.com,Worldline,SRC-PUB-LEVIIA-005,https://www.leviia.com/cas-pratique/region-ile-de-france/ | Archive 2026-07-16_Leviia_cas-region-idf-page-non-date.html,46219.416666666664,Worldline PSN,"En collaboration avec Worldline, opérateur de l’ENT régional, ce projet hors norme devait répondre à trois enjeux majeurs : Assurer une adoption à grande échelle : plus de 500 000 utilisateurs aux profils variés (élèves, enseignants, personnels administratifs), avec des attentes et des niveaux de compétences hétérogènes. Garantir une intégration fluide avec les outils existants : monlycee.net, le SSO régional et les services numériques déjà en place. Offrir un haut niveau de personnalisation : afin de répondre aux besoins spécifiques de la communauté éducative et de renforcer la sensibilisation aux enjeux de souveraineté numérique.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Opérateur de l’ENT régional explicitement cité.,,,,,,,,,,,
ENT-PUB-LEVIIA-008,Tiger Technology AD,Éditeur cybersécurité,Bulgarie,,https://www.tiger-technology.com,Tiger Technology,SRC-PUB-LEVIIA-007,https://www.tiger-technology.com/tiger-technology-leviia-partnership/ | Archive 2025-09-30_TigerTechnology_leviia-partnership.html,46219.416666666664,Tiger Technology AD,"Tiger Technology and Leviia are pleased to announce the beginning of a technology partnership aimed at delivering secure, compliant, and scalable hybrid cloud storage solutions for organizations across Europe. By combining Tiger Technology’s intelligent data management software with Leviia’s sovereign European cloud infrastructure, the two companies empower customers to manage, protect, and archive their data seamlessly—while maintaining full control and regulatory compliance.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire technologique explicite.,,,,,,,,,,,
ENT-PUB-LEVIIA-009,Free Pro,Autre — à préciser,France,,https://www.freepro.com,,SRC-PUB-LEVIIA-006,https://via.tt.se/pressmeddelande/4057851/former-wasabi-emea-vp-richard-czech-joins-leviia-to-lead-european-channel-expansion?lang=en&publisherId=259167 | Archive 2025-09-18_BusinessWire_leviia-expansion-europe.html,46219.416666666664,Free Pro,"In 2022, Leviia secured backing from Xavier Niel’s personal holding company. The following year, it achieved ISO 27001 and HDS certifications and introduced Leviia Storag3, its S3-compatible storage service for enterprise and public-sector backups. In February 2024, Leviia rolled out its partner program for resellers and integrators, and by May 2024, it had expanded infrastructure through a partnership with Free Pro.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire d’infrastructure explicitement cité.,,,,,,,,,,,
ENT-PUB-LEVIIA-010,Scaleway,Autre — à préciser,France,Île-de-France,https://www.scaleway.com,,SRC-PUB-LEVIIA-011,https://www.numerama.com/tech/2264435-au-debut-on-nous-prenait-pour-des-fous-entretien-avec-william-co-fondateur-du-cloud-francais-leviia.html | Archive 2026-06-07_Numerama_interview-leviia.html,46219.416666666664,Scaleway,"Un modèle IA, ce n’est que des mathématiques ; peu importe qu’il soit chinois ou américain à la base, tant qu’il tourne sur des machines françaises chez Scaleway, nous respectons notre promesse. Par ailleurs, pour l’hébergement de nos serveurs, l’essentiel de notre système est aujourd’hui chez Free Pro.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Fournisseur cité dans une déclaration de doctrine IA; relation commerciale non créée.,,,,,,,,,,,
ENT-PUB-LEVIIA-011,Mission French Tech,Gouvernance / institutionnel,France,Île-de-France,https://lafrenchtech.gouv.fr,French Tech 2030,SRC-PUB-LEVIIA-009,https://lafrenchtech.gouv.fr/app/uploads/2023/08/DP_FrenchTech2030_2025_compressed.pdf | Archive 2025-11-06_FrenchTech2030_promotion-2025.pdf,46219.416666666664,Mission French Tech,Diamfab Leviia Spore Biotechnologies,Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Institution responsable du programme.,,,,,,,,,,,
ENT-PUB-LEVIIA-012,Xavier Niel,Investisseur / fonds,France,Île-de-France,,,SRC-PUB-LEVIIA-006,https://via.tt.se/pressmeddelande/4057851/former-wasabi-emea-vp-richard-czech-joins-leviia-to-lead-european-channel-expansion?lang=en&publisherId=259167 | Archive 2025-09-18_BusinessWire_leviia-expansion-europe.html,46219.416666666664,Xavier Niel,"In 2022, Leviia secured backing from Xavier Niel’s personal holding company. The following year, it achieved ISO 27001 and HDS certifications and introduced Leviia Storag3, its S3-compatible storage service for enterprise and public-sector backups. In February 2024, Leviia rolled out its partner program for resellers and integrators, and by May 2024, it had expanded infrastructure through a partnership with Free Pro.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Investisseur via sa holding personnelle selon le communiqué.,,,,,,,,,,,
ENT-PUB-LEVIIA-013,AVA6,ESN / intégrateur,France,,https://www.ava6.fr,,SRC-PUB-LEVIIA-004,https://www.leviia.com/partenaires/ | Archive 2026-07-16_Leviia_programme-partenaires-page-non-date.html,46219.416666666664,AVA6,"Avec Leviia, on développe des projets concrets sur le S3 : une alternative souveraine, compétitive, et portée par une équipe ultra réactive, tant côté support que commerce. C’est un partenaire impliqué avec qui la collaboration nous permet d’accélérer et de différencier notre offre.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire témoignant sur la page Leviia.,,,,,,,,,,,
ENT-PUB-LEVIIA-014,CFI Groupe,ESN / intégrateur,France,,https://www.cfigroupe.com,,SRC-PUB-LEVIIA-004,https://www.leviia.com/partenaires/ | Archive 2026-07-16_Leviia_programme-partenaires-page-non-date.html,46219.416666666664,CFI Groupe,"En tant que partenaire stratégique de Leviia, nous apprécions leur expertise et leur engagement à fournir des solutions cloud sécurisées et performantes autour de la sauvegarde. Leur forte compatibilité avec Veeam ainsi que les autres acteurs principaux de la sauvegarde est un avantage considérable. Leurs infrastructures fiables nous permettent d’offrir à nos clients des services de qualité, tout en bénéficiant d’un accompagnement personnalisé.",Factuel,Moyenne,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire explicitement qualifié de stratégique dans le témoignage.,,,,,,,,,,,
ENT-PUB-LEVIIA-015,Wasabi Technologies,Éditeur cybersécurité,États-Unis,,https://wasabi.com,Wasabi,SRC-PUB-LEVIIA-006,https://via.tt.se/pressmeddelande/4057851/former-wasabi-emea-vp-richard-czech-joins-leviia-to-lead-european-channel-expansion?lang=en&publisherId=259167 | Archive 2025-09-18_BusinessWire_leviia-expansion-europe.html,46219.416666666664,Wasabi Technologies,"Leviia, the French cloud storage provider with more than one million users and 1,000 enterprise customers, today announces a major step in its growth strategy: the expansion of its S3 storage operations across Europe. To lead this initiative, Leviia has appointed Richard Czech, former Vice President EMEA at Wasabi, as Chief Business Development Officer. Czech will drive market development and scale Leviia’s partner ecosystem across Europe, building on the company’s successful go-to-market model in France.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Ancien employeur de Richard Czech et acteur cité; aucune relation concurrentielle déduite.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-001,Campus Cyber SAS,Gouvernance / institutionnel,France,Île-de-France,https://campuscyber.fr,Campus Cyber,SRC-PUB-CAMPUSCYBER-001,https://campuscyber.fr/wp-content/uploads/2026/01/Communique-Campus-Cyber-RDMP-2026-2028.pdf | Archive 2026-01-13_CampusCyber_strategie-2026-2028.pdf,46219.583333333336,Campus Cyber SAS,"Elle porte une ambition forte : permettre au Campus de changer de visage et de braquet, en devenant un opérateur-pivot au service de la stratégie nationale cyber de l’Etat et de l’agenda de souveraineté numérique français et européen.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Société et lieu totem de l’écosystème cyber français.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-002,Joffrey Célestin-Urbain,Autre — à préciser,France,Île-de-France,,Président,SRC-PUB-CAMPUSCYBER-004,https://campuscyber.fr/nomination-du-futur-president-du-campus-cyber/ | Archive 2025-03-24_CampusCyber_nomination-president.html,46219.583333333336,Joffrey Célestin-Urbain,"Paris, le lundi 24 mars 2025 – Le Conseil d’Administration du Campus Cyber réunit en session extraordinaire a élu M. Joffrey Célestin-Urbain en qualité de président du Conseil d’administration et de la société Campus Cyber.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Président élu du Campus Cyber.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-003,Farida Poulain,Autre — à préciser,France,Île-de-France,,Directrice générale,SRC-PUB-CAMPUSCYBER-003,https://campuscyber.fr/nomination-farida-poulain-directrice-generale/ | Archive 2025-09-29_CampusCyber_nomination-farida-poulain.html,46219.583333333336,Farida Poulain,Le Campus Cyber a le plaisir d’annoncer l’arrivée prochaine de Farida Poulain en tant que Directrice générale. Cette nomination marque une nouvelle étape majeure dans le développement du Campus comme lieu fédérateur de l’écosystème français et européen de la cybersécurité et du numérique de confiance.,Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Directrice générale annoncée.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-004,ANSSI,Gouvernance / institutionnel,France,Île-de-France,https://cyber.gouv.fr,Agence nationale de la sécurité des systèmes d'information,SRC-PUB-CAMPUSCYBER-002,https://campuscyber.fr/nouvelle-gouvernance-du-campus-cyber-2026-2028/ | Archive 2025-12-19_CampusCyber_nouvelle-gouvernance.html,46219.583333333336,ANSSI,"Membres de droit : ANSSI, représentant de l’Etat : Vincent Strubel Atos – Eviden : Pierre-Yves Jolivet Capgemini : Marjorie Bordes OCD : Frédéric Zink Thales : Pierre Jeanne Sopra Steria : Jean-Luc Gibernon",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Membre de droit et représentant de l’État.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-005,Direction générale des entreprises,Gouvernance / institutionnel,France,Île-de-France,https://www.entreprises.gouv.fr,DGE,SRC-PUB-CAMPUSCYBER-002,https://campuscyber.fr/nouvelle-gouvernance-du-campus-cyber-2026-2028/ | Archive 2025-12-19_CampusCyber_nouvelle-gouvernance.html,46219.583333333336,Direction générale des entreprises,Institutionnel ANSSI (Renaud Labelle) x DGE (Aurélien Palix),Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Représentée dans le collège institutionnel.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-006,CYBIAH,Association / groupement,France,Île-de-France,https://cybiah.eu,Cyber & IA Hub; European Digital Innovation Hub,SRC-PUB-CAMPUSCYBER-007,https://campuscyber.fr/cybiah-ami-ia/ | Archive 2025-07-08_CampusCyber_cybiah-ami-ia.html,46219.583333333336,CYBIAH,"C’est pourquoi CYBIAH, le European Digital Innovation Hub coordonné par le Campus Cyber et cofinancé par l’Union européenne et la Région Île-de-France, lance un appel à manifestation d’intérêt (AMI) inédit, destiné à enrichir son offre de services en cybersécurité appliquée à l’IA.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Programme coordonné par Campus Cyber.,,,,,,,,,,,
ENT-PUB-CAMPUSCYBER-007,Métropole du Grand Paris,Gouvernance / institutionnel,France,Île-de-France,https://www.metropolegrandparis.fr,MGP,SRC-PUB-CAMPUSCYBER-008,https://campuscyber.fr/metropole-grand-paris-cybersecurite-cybiah/ | Archive 2025-02-07_CampusCyber_mgp-cybiah.html,46219.583333333336,Métropole du Grand Paris,"Officiellement lancé ce jour au Campus Cyber, le partenariat entre la Métropole du Grand Paris et CYBIAH vise à offrir un dispositif de cybersécurisation clé en main et entièrement gratuit pour les communes volontaires.",Factuel,Élevée,Public — mutualisable,Citation courte / analyse seulement,À valider,Pas de doublon détecté,Partenaire public du dispositif communes CYBIAH.,,,,,,,,,,,
