id_service,id_acteur,perspective_corpus,portee_agence_reseau,operateur_identifie,support_local,nom_service,domaine,mode_livraison,statut_maturite,recurrence,couverture_horaire,niveaux_support,chaine_escalade,multi_tenant,psa_rmm,automatisation,prix_public,unite_facturation_publique,engagement_public,segments_cibles,secteurs_cibles,geographie,technologies_citees,id_source,passage_justificatif,date_observation,niveau_confiance,statut_validation
SRV-PUB-IRONIE-008,ENT-PUB-IRONIE-001,DEMANDE_MSP,,,,DMARC360,Messagerie / domaines,opéré en propre,Offre publiée,Récurrente déclarée,Surveillance continue déclarée ; disponibilité humaine non établie,Points réguliers déclarés ; niveaux N1–N3 non établis,Non-conformités revues avec le client ; escalade non publiée,non établi,non établi,Surveillance continue des noms de domaine déclarée,Non établi,non établie,non établi,TPE; PME; ETI,multi-secteurs,"France, avec implantations dans le quart nord-ouest","SPF, DKIM, DMARC, DNSSEC, MTA-STS",SRC-PUB-IRONIE-001,"Nous vous proposons d’implémenter avec vous tous les mécanismes modernes, les bonnes pratiques, vous permettant aussi d’émaliorer la dévliverabilité de vos emails vers vos destinataires (clients, fournisseurs, partenaires). Ainsi démystifiés, le SPF , DKIM et DMARC seront compris et utilisés à bon escient. Tout comme DNSSEC ou MTA-STS. Nous opérons ensuite un service de surveillance continue de vos noms de domaine, et faisons des points réguliers avec vous sur les non-conformités.",46224.5,Élevée sur l’offre déclarée ; livraison et performance non auditées,À valider
SRV-PUB-XEFI-CANNES-001,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Service local déclaré et contrat réseau disponible,XEFI Cannes pour une part locale déclarée ; répartition avec le réseau non publiée,Maintenance préventive et curative locale déclarée,Infogérance et maintenance du parc,Endpoint / poste de travail,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,Horaires d’agence publiés ; SLA de support non établi,"Assistance téléphonique, télémaintenance et intervention sur site au catalogue réseau ; répartition locale non établie",Distance vers site ; escalade réseau non documentée,non établi,non établi,Supervision proactive et mises à jour au catalogue réseau,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Aucune technologie locale explicitement prouvée,SRC-PUB-XEFI-CANNES-001,"Nous proposons des services de maintenance préventive et curative, d’infogérance (poste, serveur, réseau), de gestion de parc informatique et d’administration cloud.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-002,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Support de proximité déclaré ; dispositif réseau accessible,non établi,Support de proximité déclaré par France Num,Support utilisateurs et assistance,Support / infogérance,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,Agence : lundi-jeudi 08:30-12:00 / 13:30-18:00 ; vendredi jusqu’à 17:00 ; horaires de support non établis,Technicien conseil au catalogue réseau ; niveaux et effectifs locaux inconnus,Prise en main à distance et intervention sur site au catalogue réseau ; escalade centrale inconnue,non établi,non établi,non établie,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Aucune technologie locale explicitement prouvée,SRC-PUB-XEFI-CANNES-002,Lundi 08:30-12:00 13:30-18:00 Mardi 08:30-12:00 13:30-18:00 Mercredi 08:30-12:00 13:30-18:00 Jeudi 08:30-12:00 13:30-18:00 Vendredi 08:30-12:00 13:30-17:00 Samedi Fermé Dimanche Fermé,46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-003,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Service commercialisé localement ; opérateur non nommé,non établi,non établi,Supervision informatique 24/7 déclarée,Endpoint / poste de travail,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,"24/7 déclaré sur France Num ; présence humaine, périmètre et astreinte non établis",non établi,non établie,non établi,non établi,Supervision déclarée ; outil et automatisation non publiés,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Aucune technologie locale explicitement prouvée,SRC-PUB-XEFI-CANNES-001,"Nous intégrons des solutions de cybersécurité (firewall UTM, antivirus managé, filtrage web, supervision 24/7), de sauvegarde hybride (locale et cloud), ainsi que des environnements virtualisés.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-004,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Service local déclaré ; socle réseau disponible,non établi,Intégration locale déclarée ; maintenance et escalade non détaillées,Protection endpoint et antivirus managé,Endpoint / poste de travail,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,non établi,non établi,non établie,non établi,non établi,Mises à jour/gestion managée déclarées sans outil nommé,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Antivirus managé ; aucune marque locale prouvée,SRC-PUB-XEFI-CANNES-001,"Nous intégrons des solutions de cybersécurité (firewall UTM, antivirus managé, filtrage web, supervision 24/7), de sauvegarde hybride (locale et cloud), ainsi que des environnements virtualisés.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-005,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Intégration locale déclarée ; offre managée réseau publiée,Équipes XEFI non localisées dans la source nationale,Intégration locale publiée ; maintenance locale non prouvée,Pare-feu et réseau sécurisé,IAM / accès,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,non établi,non établi,Intervention rapide déclarée nationalement ; destination et délais locaux non établis,non établi,non établi,Mise à jour automatique et supervision à distance au catalogue réseau,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Firewall UTM localement ; aucune marque locale prouvée,SRC-PUB-XEFI-CANNES-006,"PARE-FEU MIS À JOUR ET SUPERVISÉ Boîtier installé sur site avec supervision à distance Mise à jour automatique, maintenance continue, intervention rapide Filtrage des connexions, blocage des menaces, accès distant sécurisé",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-006,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Sauvegarde hybride commercialisée localement ; stockage et supervision réseau,Équipes techniques XEFI et datacenters du réseau ; rôle précis de Cannes non publié,Accompagnement technique local déclaré par XEFI,Sauvegarde hybride et restauration,Sauvegarde / PRA,co-délivré,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,Supervision quotidienne réseau ; support local hors horaires non établi,non établi,Agence vers équipes techniques/datacenters suggérée ; procédure non publiée,non établi,non établi,"Sauvegarde automatique, déconnectée et supervisée quotidiennement",non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Datacenters XEFI ; aucune technologie de sauvegarde nommée,SRC-PUB-XEFI-CANNES-007,"XEFI propose une offre de sauvegarde automatique et externalisée, déconnectée, supervisée quotidiennement et hébergée dans ses datacenters en France. Vous bénéficiez d’une restauration rapide, d’une sécurité renforcée et d’un accompagnement technique local .",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-007,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Administration cloud locale déclarée ; infrastructure et experts réseau,Datacenters et experts XEFI ; rôle local d’accompagnement,Accompagnement local déclaré ; capacité technique locale non détaillée,Serveurs cloud managés et hébergement,Cloud / collaboration,co-délivré,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,Infrastructure supervisée 24/7 par les équipes XEFI ; couverture de l’agence non établie,non établi,Agence de proximité et experts Datacenters cités ensemble ; processus non publié,non établi,non établi,Supervision 24/7 déclarée,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,"Datacenters TIER III/TIER IV, ISO 27001, HDS ; aucune plateforme locale nommée",SRC-PUB-XEFI-CANNES-003,"Non ! Votre agence de proximité ainsi que nos experts Datacenters nous permettent de s’occuper pour vous de la maintenance de vos infrastructures Cloud. Au quotidien, nous vous sécurisons et maintenons, sans actions nécessaires de votre part.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-008,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Diagnostic numérique local déclaré ; offre cyber à trois niveaux publiée nationalement,Experts cyber XEFI ; localisation non établie,Prise de rendez-vous via agence possible ; réalisation locale non prouvée,RDV Diagnostic Cyber et plan de protection,Vulnérabilités / exposition,non établi,Offre publiée,Diagnostic ponctuel ; conversion en services récurrents possible mais non mesurée,non établi,non établi,non établie,non établi,non établi,non établie,non publié,non établie,Diagnostic annoncé sans engagement,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Aucune technologie locale explicitement prouvée,SRC-PUB-XEFI-CANNES-005,"Le RDV Diagnostic Cyber XEFI dure environ 30 minutes. C’est un format court conçu pour être efficace et factuel, sans perturber l’agenda des dirigeants de TPE/PME.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-009,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Messagerie sécurisée locale et composants réseau publiés,non établi,non établi,"Messagerie sécurisée, antispam et filtrage web",IAM / accès,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,non établi,non établi,non établie,non établi,non établi,Filtrage déclaré ; règles et supervision non publiées,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,"Antispam, gestionnaire de mots de passe, filtrage web ; aucune marque locale",SRC-PUB-XEFI-CANNES-002,"Notre agence XEFI Cannes, située en Provence-Alpes-Côte d’Azur, dans le département Alpes-Maritimes et dans la ville de Vallauris, est votre guichet unique pour tous vos besoins en informatique, bureautique, logiciel, location et vente d’imprimantes, copieurs, messagerie sécurisée et sécurisation de données dans nos datacenters hautement certifiés afin d’améliorer la performance de votre société.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-XEFI-CANNES-010,ENT-PUB-XEFI-CANNES-001,DEMANDE_MSP,Service du catalogue réseau accessible via les agences ; vente locale non établie,Infrastructure XEFI ; rôle de Cannes non établi,non établi,PRA / PCA réseau,Sauvegarde / PRA,non établi,Offre publiée,Récurrence déclarée ou implicite ; contrat exact à valider,Supervision d’infrastructure réseau 24/7 ; RTO/RPO et support non publiés,non établi,non établie,non établi,non établi,non établie,non publié,non établie,non établi,TPE; PME,multi-secteurs,Alpes-Maritimes pour l’agence ; infrastructure réseau nationale,Serveur virtuel en datacenter XEFI,SRC-PUB-XEFI-CANNES-003,"Oui. XEFI restaure votre environnement complet sur un serveur virtuel identique, hébergé dans son datacenter.",46224.5,Moyenne à élevée sur l’offre publiée ; frontière agence/réseau à valider,À valider
SRV-PUB-ALMERIA-001,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Équipes Almeria — prise en charge déclarée,Interventions sur site ou à distance ; interlocuteur unique déclaré,Infogérance et maintenance préventive,Réseau / sécurité périmétrique,opéré en propre,Offre publiée,Maintenance préventive régulière ; rythme de visites adapté aux besoins,non établi,"Expert régulier, administration de parc et suivi des infrastructures déclarés",non publiée,non établi,non établi,non établie pour ce service,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,non établies,SRC-PUB-ALMERIA-002,"Ce service vous permet de bénéficier d’interventions proactives sur site pour optimiser le fonctionnement de votre infrastructure, d’anticiper les pannes et de vous décharger de l’administration du parc informatique.",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-002,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Service technique et ingénieurs Almeria déclarés,Hotline et prise en main à distance ; intervention directe annoncée,Assistance et hotline,Endpoint / poste de travail,opéré en propre,Offre publiée,Service contractuel déclaré,Hotline dès 7h30 pour certains contrats Premium ; horaires standard non publiés,Appels orientés vers le service technique ; niveaux N1/N2/N3 non publiés,non publiée,non établi,non établi,Portail de tickets EZ Portail ; prise en main à distance,non publié,non établie,"Délais de rappel garantis pour certains contrats, sans valeur publiée",TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,non établies,SRC-PUB-ALMERIA-004,"Chez Almeria, tous les appels sont orientés vers notre service technique. Notre hotline vous permet de bénéficier de l’expertise de nos ingénieurs pour traiter les incidents en temps réel. Des outils de prise en main à distance nous permettent d’intervenir sur des postes et serveurs distants et solutionner vos problèmes en direct, sans déplacement.",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-003,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Almeria déclare assurer la supervision,Traitement des alertes et escalade non décrits,Supervision automatisée des infrastructures,Support / infogérance,opéré en propre,Offre publiée,Surveillance récurrente implicite,non publiée,non établi,non établie,non établi,non établi,Ensemble de procédés automatisés déclaré,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,non établies,SRC-PUB-ALMERIA-003,Nous assurons la supervision de votre infrastructure grâce à un ensemble de procédés automatisés.,46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-004,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Almeria déclare déployer et piloter ; exploitation permanente non établie,Remédiation et accompagnement publiés ; support continu non établi,Protection et durcissement cyber,IAM / accès,piloté pour le client,Offre publiée,Certaines briques sont récurrentes ; contrat exact non publié,non établi,non établi,non établie,non établi,non établi,"EDR/XDR, patch management, RMM, NDR/XDR cités comme fonctions",non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,"EDR, XDR, RMM, NDR, NAC, MFA, VPN, SSO, Microsoft 365 ; marques non toutes précisées",SRC-PUB-ALMERIA-006,"La protection efficace d’une entreprise cybersécurité repose sur des couches complémentaires : poste de travail, serveurs, réseau, authentification, accès distants, messagerie, infrastructure et cloud. Almeria déploie des solutions éprouvées et un pilotage opérationnel pour réduire l’exposition et bloquer les attaques avant qu’elles n’impactent votre activité.",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-005,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Experts Almeria déclarés,Préconisations et plans d’action déclarés,Audits et tests d’intrusion,Vulnérabilités / exposition,opéré en propre,Offre publiée,Ponctuel ou périodique ; récurrence non publiée,non établi,non établi,non établie,non établi,non établi,non établie,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,non établies,SRC-PUB-ALMERIA-005,Identifiez vos vulnérabilités avant qu’elles ne soient exploitées. Nos experts réalisent des audits complets et des tests d’intrusion pour évaluer la robustesse de votre système.,46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-006,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,non établi — la page mentionne « nos services SOC/MDR » sans identifier l’opérateur,Chaîne d’escalade et rôle d’Almeria non publiés,SOC/MDR et journalisation,Réponse à incident,non établi,Offre publiée,Analyse continue déclarée,Continu déclaré ; 24/7 non explicitement publié,Qualification d’alertes et actions immédiates annoncées,non publiée,non établi,SIEM/SOAR et outils non publiés,Playbooks déclarés ; niveau d’automatisation non établi,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,SOC/MDR génériques ; aucun fournisseur identifié,SRC-PUB-ALMERIA-007,"Nos services SOC/MDR analysent en continu les événements, qualifient les alertes et déclenchent des actions immédiates pour contenir les menaces.",46224.5,"Moyenne — capacité déclarée, opérateur et réalité opérationnelle non établis",À valider
SRV-PUB-ALMERIA-007,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Équipes Almeria déclarées,Assistance immédiate annoncée ; SLA et astreinte non publiés,Réponse à incident,Réponse à incident,opéré en propre,Offre publiée,Service activé sur incident ; contrat de rétention non établi,non publié,"Qualification, analyse forensique, remédiation et retour d’expérience déclarés",Partenaires et niveaux d’escalade non publiés,non établi,non établi,non établie,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,non établies,SRC-PUB-ALMERIA-007,"En cas d’attaque (phishing, ransomware, compromission de compte, exfiltration de données), nos équipes interviennent rapidement pour limiter les impacts :",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-008,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Almeria déclare mettre en place et tester ; exploitation continue non établie,Tests de restauration et exercices de bascule déclarés,"PCA, PRA et sauvegardes de résilience",Sauvegarde / PRA,piloté pour le client,Offre publiée,Tests réguliers déclarés ; périodicité non publiée,non établi,non établi,non établie,non établi,non établi,Sauvegarde isolée et immuable ; mécanismes non détaillés,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,non publiées,SRC-PUB-ALMERIA-007,"Sauvegardes robustes : nous déployons des solutions de sauvegarde isolées et immuables, avec des tests réguliers de restauration pour garantir leur fiabilité en cas de crise.",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-009,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria propriétaire des serveurs ; hébergement dans les datacenters Etix,Almeria pour les serveurs et interventions déclarées ; Etix pour les datacenters,Intervention physique rapide annoncée ; niveaux et délais non publiés,Cloud privé et hébergement local,Cloud / collaboration,co-délivré,Offre publiée,Service d’hébergement récurrent implicite,Accessibilité 7J/7 24H/24 publiée ; support humain non établi,non établi,Almeria vers Etix non documentée,non établi,non établi,Sauvegarde automatisée publiée,non publié,non établie,"SLA de 99,7 % et durée d’engagement courte publiés ; contrat exact à valider",TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,Etix Everywhere ; Sage et EBP cités comme applications accessibles,SRC-PUB-ALMERIA-008,"Pour sa prestation Cloud, Almeria a noué un partenariat avec ETIX, un opérateur régional de premier plan en terme de Datacenters. Almeria est propriétaire de ses serveurs, qui sont soumis aux lois françaises, et sur lesquels nos équipes sont en capacité d’intervenir rapidement sur site.",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-ALMERIA-010,ENT-PUB-ALMERIA-001,DEMANDE_MSP,Almeria et éventuels partenaires,Expertise et formations Almeria déclarées,Accompagnement stratégique publié ; fréquence non établie,Gouvernance et sensibilisation cyber,Gouvernance / conformité,opéré en propre,Offre publiée,non établie,non établi,non établi,non établie,non établi,non établi,Simulations et tests de phishing cités ; plateforme non nommée,non publié,non établie,non établi,TPE; PME,multi-secteurs,Pays de la Loire / Ouest de la France,Cyber Coach cité sur une page officielle ; opérateur non établi,SRC-PUB-ALMERIA-005,"Gouvernance SSI, sensibilisation, accompagnement stratégique Renforcez votre culture cybersécurité et pilotez efficacement vos risques grâce à nos formations et notre expertise en gouvernance.",46224.5,Moyenne à élevée sur l’offre publiée ; exécution réelle à valider,À valider
SRV-PUB-EIFFIE-001,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie,Eiffie déclaré,Oui — prise en main à distance publiée,Eiffie 360,Sauvegarde / PRA,opéré en propre,Offre publiée,Récurrente,non établie,non établis,non établie,non établi,non établi,Supervision et maintenance déclarées,non établi,mensualité,Coût mensuel annoncé ; durée non publiée,TPE; PME,multi-secteurs,Île-de-France / France,"Composants cyber, sauvegarde et support ; marques selon sous-services",SRC-PUB-EIFFIE-002,Nous vous libérons des contraintes informatiques grâce à une offre tout inclus et aux coûts maîtrisés.,2026-07-22,Élevée sur le packaging ; prix et périmètre contractuel non publiés,À valider
SRV-PUB-EIFFIE-002,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie,Eiffie déclaré,Oui,Infogérance et support IT,Support / infogérance,opéré en propre,Offre publiée,Récurrente,non établie,non établis,non établie,non établi,Outil de prise en main distant ; marque non nommée,Supervision proactive déclarée,non établi,non établie,non établi,TPE; PME,multi-secteurs,Île-de-France / France,Outil de prise en main à distance non nommé,SRC-PUB-EIFFIE-005,"Afin de prendre la main à distance sur votre PC, merci de cliquer sur un des liens ci-dessous selon la demande de notre support : SOS à la demande Installation complète du client",2026-07-22,Élevée sur le canal ; couverture et SLA non établis,À valider
SRV-PUB-EIFFIE-003,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie et partenaires technologiques,non établi,Oui déclaré,Sauvegarde externalisée et PRA,Sauvegarde / PRA,non établi,Offre publiée,Récurrente,Surveillance continue déclarée ; présence humaine non établie,non établis,Anomalie vers équipe Eiffie déclarée ; délais non publiés,non établi,non établi,"Sauvegardes régulières, supervision et restauration déclarées",non établi,non établie,Restauration sous une heure annoncée ; conditions contractuelles non publiées,PME,multi-secteurs,France,"Veeam, Synology, datacenters sécurisés non nommés",SRC-PUB-EIFFIE-004,"Nos services incluent la surveillance continue de vos systèmes de sauvegarde afin de garantir que chaque processus s’effectue correctement et sans erreur. En cas d’anomalie ou d’échec de sauvegarde, notre équipe intervient rapidement pour résoudre le problème et s’assurer que vos données restent en sécurité à tout moment.",2026-07-22,Moyenne à élevée — capacité déclarée ; SLA et opérateur d’hébergement non établis,À valider
SRV-PUB-EIFFIE-004,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie,non établi,Oui déclaré,"Protection EDR, firewall et MFA",IAM / accès,non établi,Offre publiée,Récurrente déclarée,non établie,non établis,non établie,non établi,non établi,Réponse automatisée EDR déclarée,non établi,non établie,non établi,PME; Secteur public,multi-secteurs,France,"WatchGuard dans le cas partenaire ; EDR, firewall, MFA",SRC-PUB-EIFFIE-003,EDR : Protection des Endpoints Détection et réponse avancée aux menaces sur tous vos postes de travail et serveurs. Analyse en temps réel et réaction automatisée face aux comportements suspects.,2026-07-22,Moyenne — catalogue déclaré ; mode d’exploitation non généralisé,À valider
SRV-PUB-EIFFIE-005,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie / WatchGuard,WatchGuard SOC pour le MDR ; Eiffie pour la relation et l’accompagnement,Eiffie déclaré ; périmètre non détaillé,WatchGuard Total MDR,SOC / MDR,co-délivré,Déploiement documenté,Récurrente,24x7x365 annoncé par WatchGuard et commercialisé par Eiffie,Analystes WatchGuard ; équipe Eiffie alertée ; niveaux formels non publiés,Alerte email et appel téléphonique en cas de menace majeure selon le cas,Portail MDR multi-clients déclaré par WatchGuard,non établi,Isolation automatique et consolidation dans un portail,non établi,non établie,non établi,PME,multi-secteurs,France / SOC WatchGuard,"WatchGuard EPDR, Patch Management, MDR, Microsoft Defender en roadmap",SRC-PUB-EIFFIE-006,"Quant à l’aspect commercial, Eiffie présente le MDR comme une surcouche à ses services existants, une extension active 24/7/365, avec une présence humaine si besoin.",2026-07-22,Moyenne à élevée — étude de cas partenaire ; RACI contractuel non public,À valider
SRV-PUB-EIFFIE-006,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie et plateformes tierces,non établi,Oui déclaré,"Cloud, hébergement et Microsoft 365",Cloud / collaboration,non établi,Offre publiée,Récurrente déclarée,non établie,non établis,non établie,non établi,non établi,non établie,non établi,non établie,non établi,PME,multi-secteurs,France,Microsoft 365 ; hébergement non nommé,SRC-PUB-EIFFIE-001,"Cloud & Hébergement : Stockez, sécurisez et accédez à vos données où que vous soyez, avec des solutions performantes et évolutives.",2026-07-22,Moyenne — description commerciale ; opérateur non établi,À valider
SRV-PUB-EIFFIE-007,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie,Eiffie déclaré,Sans objet,Audit et conformité,Vulnérabilités / exposition,opéré en propre,Offre publiée,Ponctuelle,non établie,Sans objet,Sans objet,Sans objet,Sans objet,non établie,non établi,par mission non établie,non établi,PME; Secteur public,multi-secteurs,France,"RGPD, ISO 27001 cités comme référentiels",SRC-PUB-EIFFIE-003,"Audit & Conformité Sécurité Évaluation des vulnérabilités et mise en conformité avec les normes et réglementations (RGPD, ISO 27001, etc.). Rapport détaillé et plan d’actions pour renforcer votre posture de cybersécurité.",2026-07-22,Élevée sur la prestation déclarée ; résultats non audités,À valider
SRV-PUB-EIFFIE-008,ENT-PUB-DEMANDE-EIFFIE-001,DEMANDE_MSP,Eiffie,Eiffie déclaré,Oui,Formation et sensibilisation cyber,Compétences / formation,opéré en propre,Offre publiée,Ponctuelle ou périodique non établie,non établie,Sans objet,Sans objet,Sans objet,Sans objet,Simulations déclarées,non établi,non établie,non établi,PME,multi-secteurs,France,Simulations de phishing ; plateforme non nommée,SRC-PUB-EIFFIE-003,"Nous proposons des formations interactives et des simulations pour apprendre à reconnaître les tentatives de phishing, ransomwares et autres attaques.",2026-07-22,Élevée sur la prestation déclarée ; fréquence non établie,À valider
SRV-PUB-NOMIOS-001,ENT-PUB-DEMANDE-NOMIOS-001,DEMANDE_MSP,Groupe / France selon la source,Nomios,France lorsqu’explicitement indiqué,SOC managé,SOC / MDR,opéré en propre,Offre publiée,récurrente ou mobilisable selon service,24/7 annoncée,non établi sauf mention,non établie,non établi,non établi,non établie sauf mention,,non établie,non établi sauf mention,Entreprises — taille non établie,Multi-secteurs ; secteur public lorsque précisé,France / Europe selon la source,"Palo Alto Networks Cortex XDR, XSIAM, SOAR",SRC-PUB-NOMIOS-002,"Les établissements publics éligibles à l’offre CANUT bénéficieront ainsi d’un SOC managé opéré depuis la France, intégrant des analystes N2 et N3, un pilotage dédié et une forte connaissance des contextes métiers du secteur public.",2026-07-22,Élevée sur l’offre déclarée ; performance non auditée,À valider
SRV-PUB-NOMIOS-002,ENT-PUB-DEMANDE-NOMIOS-001,DEMANDE_MSP,Groupe / France selon la source,Nomios,France lorsqu’explicitement indiqué,CSIRT et réponse à incident,Réponse à incident,opéré en propre,Offre publiée,récurrente ou mobilisable selon service,Astreinte 24/7 ; premières actions sous 4 heures pour les clients concernés,non établi sauf mention,non établie,non établi,non établi,non établie sauf mention,,non établie,non établi sauf mention,Entreprises — taille non établie,Multi-secteurs ; secteur public lorsque précisé,France / Europe selon la source,non établi,SRC-PUB-NOMIOS-001,"Une astreinte dédiée permet ainsi une mobilisation 24/7, avec une prise en compte rapide et un déclenchement des premières actions sous 4 heures pour les clients concernés.",2026-07-22,Élevée sur l’offre déclarée ; performance non auditée,À valider
SRV-PUB-NOMIOS-003,ENT-PUB-DEMANDE-NOMIOS-001,DEMANDE_MSP,Groupe / France selon la source,Nomios,France lorsqu’explicitement indiqué,NOC,Réseau / sécurité périmétrique,opéré en propre,Offre publiée,récurrente ou mobilisable selon service,supervision continue déclarée,non établi sauf mention,non établie,non établi,non établi,non établie sauf mention,,non établie,non établi sauf mention,Entreprises — taille non établie,Multi-secteurs ; secteur public lorsque précisé,France / Europe selon la source,non établi,SRC-PUB-NOMIOS-005,"Enfin, les Services Managés de Nomios assurent la supervision continue, la gestion et l’amélioration de la sécurité via ses Security Operations Centre (SOC), Network Operations Centre (NOC) et Vulnerability Operation Centre (VOC)",2026-07-22,Élevée sur l’offre déclarée ; performance non auditée,À valider
